Player,Pos,Min,Gls,Ast,PK,PKatt,Sh,SoT,xG,npxG,SCA,GCA,match,score,team,team_goals,conceded_goals,win,tie,Total-TotDist,Total-PrgDist,Short-Cmp,Short-Att,Medium-Cmp,Medium-Att,Long-Cmp,Long-Att,xAG,xA,KP,1/3,PPA,CrsPA,PrgP,Att,Live,Dead,FK,TB,Sw,Crs,TI,CK,Tackles-Tkl,Tackles-TklW,Challenges-Tkl,Challenges-Att,Challenges-Lost,Blocks-Blocks,Blocks-Sh,Blocks-Pass,Int,Clr,Err,Touches-Def Pen,Touches-Def 3rd,Touches-Mid 3rd,Touches-Att 3rd,Touches-Att Pen,Take-Ons-Att,Take-Ons-Succ,Carries-Carries,Carries-TotDist,Carries-PrgDist,Carries-PrgC,Carries-1/3,Carries-CPA,Carries-Mis,Carries-Dis,Receiving-Rec,Receiving-PrgR,CrdY,CrdR,2CrdY,Fls,Fld,Off,PKwon,PKcon,OG,Recov,Aerial Duels-Won,Aerial Duels-Lost,SoTA,GA,Saves,PSxG,Launched-Cmp,Launched-Att,Passes-Att (GK),Passes-Thr,Passes-AvgLen,Goal Kicks-Att,Goal Kicks-AvgLen,Crosses-Opp,Crosses-Stp,Sweeper-#OPA,Sweeper-AvgDist,puntaje_modelo,figura,puntaje,fecha
Augusto Lotti,FW,8,0,0,0,0,0,0,0.0,0.0,0,0,Platense - River Plate,0–0,Platense,0,0,False,True,47,0,1,1,2,2,0,0,0.0,0.0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,1,5,2,0,0,0,0,0,0,0,0,0,2,0,1,1,0,0,0,0,0,0,0,0,0,2,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.840921884612396,False,6.0,17
Franco Minerva,W,59,0,0,0,0,0,0,0.0,0.0,1,0,Platense - River Plate,0–0,Platense,0,0,False,True,100,46,4,7,1,5,1,2,0.0,0.0,0,2,0,0,0,15,15,0,0,0,0,1,0,0,2,0,1,2,1,2,0,2,1,1,0,0,3,12,9,0,0,0,6,13,1,0,0,0,1,0,10,2,0,0,0,1,0,0,0,0,0,2,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.017605218973864,False,6.0,17
Ignacio Schor,W,31,0,0,0,0,0,0,0.0,0.0,1,0,Platense - River Plate,0–0,Platense,0,0,False,True,21,15,2,2,0,0,0,1,0.0,0.0,1,1,0,0,1,3,3,0,0,0,1,0,0,0,1,0,0,0,0,1,0,1,1,3,0,0,5,3,5,0,1,0,5,57,25,1,2,0,2,0,6,0,0,0,0,1,1,0,0,0,0,1,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.034555265656007,False,6.0,17
Guido Mainero,W,83,0,0,0,0,2,0,0.1,0.1,0,0,Platense - River Plate,0–0,Platense,0,0,False,True,204,19,1,5,2,6,4,7,0.0,0.0,0,0,0,0,0,20,15,5,2,0,0,4,1,2,2,2,1,3,2,1,0,1,1,1,0,1,6,9,17,0,0,0,13,86,46,1,1,0,2,0,14,6,0,0,0,4,0,0,0,0,0,4,0,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.939283434787045,False,6.0,17
Carlos Villalba,W,7,0,0,0,0,0,0,0.0,0.0,0,0,Platense - River Plate,0–0,Platense,0,0,False,True,0,0,0,0,0,0,0,1,0.0,0.0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,2,2,1,0,1,0,1,0,0,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.730231268504931,False,6.0,17
Vicente Taborda,AM,68,0,0,0,0,1,0,0.1,0.1,1,0,Platense - River Plate,0–0,Platense,0,0,False,True,178,50,2,5,5,8,1,3,0.0,0.0,0,2,0,0,1,20,17,3,1,0,0,2,0,1,0,0,0,0,0,2,0,2,0,2,0,1,4,20,9,1,0,0,16,60,2,0,0,0,5,6,19,5,1,0,0,2,3,0,0,0,0,7,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.552916642454377,False,4.0,17
Franco Baldassarra,AM,22,0,0,0,0,0,0,0.0,0.0,0,0,Platense - River Plate,0–0,Platense,0,0,False,True,38,27,0,0,2,2,0,1,0.0,0.0,0,0,0,0,1,4,4,0,0,0,0,0,0,0,2,1,1,3,2,0,0,0,0,2,0,0,2,3,2,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,2,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.993525400262665,False,6.0,17
Leonel Picco,DM,82,0,0,0,0,1,0,0.0,0.0,1,0,Platense - River Plate,0–0,Platense,0,0,False,True,160,44,6,6,5,7,0,3,0.0,0.0,0,1,0,0,2,18,18,0,0,0,1,0,0,0,8,3,4,5,1,3,0,3,5,2,0,1,16,16,4,0,0,0,4,6,2,0,0,0,2,0,2,0,0,0,0,3,0,0,0,0,0,10,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.7366314849696325,False,8.0,17
Iván Gómez,DM,8,0,0,0,0,0,0,0.0,0.0,0,0,Platense - River Plate,0–0,Platense,0,0,False,True,50,27,1,1,2,3,0,0,0.0,0.0,0,1,1,1,0,5,5,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,4,1,0,0,0,1,8,2,0,0,0,1,0,2,1,0,0,0,2,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.015851629815275,False,7.0,17
Fernando Juárez,DM,90,0,0,0,0,0,0,0.0,0.0,0,0,Platense - River Plate,0–0,Platense,0,0,False,True,305,143,6,8,5,11,4,6,0.0,0.0,0,2,0,0,5,25,25,0,0,0,0,0,0,0,3,2,1,4,3,1,0,1,1,0,0,1,6,22,5,0,2,1,5,25,8,0,1,0,2,0,8,0,1,0,0,2,2,0,0,0,0,4,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.3394190083431265,False,5.0,17
