id,jugador,equipo,puntaje,fecha
225,"Joaquín García","Vélez Sarsfield",6,18
226,"Valentín Gómez","Vélez Sarsfield",6,18
227,"Pablo Solari","River Plate",6,18
228,"Franco Armani","River Plate",6,18
229,"Ignacio Fernández","River Plate",6,18
230,"Francisco Pizzini","Vélez Sarsfield",6,18
231,"Franco Mastantuono","River Plate",6,18
232,"Maximiliano Meza","River Plate",6,18
233,"Germán Pezzella","River Plate",6,18
234,"Marcos Acuña","River Plate",6,18
235,"Agustín Bouzat","Vélez Sarsfield",6,18
236,"Paulo Díaz","River Plate",6,18
237,"Matías Kranevitter","River Plate",6,18
238,"Emanuel Mammana","Vélez Sarsfield",6,18
239,"Damián Fernández","Vélez Sarsfield",6,18
240,"Aaron Quirós","Vélez Sarsfield",6,18
241,"Milton Casco","River Plate",6,18
242,"Claudio Echeverri","River Plate",6,18
243,"Tomás Marchiori","Vélez Sarsfield",6,18
244,"Elías Gómez","Vélez Sarsfield",6,18
245,"Rodrigo Villagra","River Plate",6,18
246,"Facundo Colidio","River Plate",6,18
247,"Jalil Elías","Vélez Sarsfield",6,18
248,"Maher Carrizo","Vélez Sarsfield",6,18
249,"Francisco Álvarez","Arg Juniors",8,18
250,"Maximiliano Romero","Arg Juniors",8,18
251,"Kevin Coronel","Arg Juniors",8,18
252,"Alan Lescano","Arg Juniors",7,18
253,"José Herrera","Arg Juniors",7,18
254,"Ariel Gamarra","Arg Juniors",7,18
255,"Román Vega","Arg Juniors",7,18
256,"Tobías Palacio","Arg Juniors",7,18
257,"Nicolás Oróz","Arg Juniors",7,18
258,"Tomás Molina","Arg Juniors",7,18
259,"Diego Matías Rodríguez","Arg Juniors",7,18
260,"Alan Rodríguez","Arg Juniors",7,18
261,"Francis Mac Allister","Arg Juniors",7,18
262,"Santiago Rodriguez","Arg Juniors",7,18
263,"Lucas Gómez","Arg Juniors",7,18
264,"Jonathan Galván","Arg Juniors",6,18
265,"Juan Portillo",Talleres,6,18
266,"Gastón Benavídez",Talleres,6,18
267,"Juan Rodríguez",Talleres,6,18
268,"Blas Riveros",Talleres,6,18
269,"Matías Galarza",Talleres,6,18
270,"Diego Ortegoza",Talleres,6,18
271,"Rubén Botta",Talleres,6,18
