fecha,jugador,equipo,puntaje
1,Gustavo Fernández,Deportivo Riestra,6.6769545570459385
1,Cristian Tarragona,San Lorenzo,6.618209161110006
1,Elías Báez,San Lorenzo,6.417094546207763
1,Carlos Sánchez,San Lorenzo,6.363400741077271
1,Gastón Gómez,San Lorenzo,6.327614964304491
1,Nicolás Hernández,San Lorenzo,6.292498359461229
1,Yaison Murillo,Deportivo Riestra,6.288478521852578
1,Ezequiel Cerutti,San Lorenzo,6.249825099500413
1,Nicolás Sansotre,Deportivo Riestra,6.214139031980763
1,Jhohan Romaña,San Lorenzo,6.125746117138865
1,Guillermo Pereira,Deportivo Riestra,6.0832286557857245
1,Nicolas Dematei,Deportivo Riestra,6.070039914666028
1,Iván Tapia,San Lorenzo,6.055891691496185
1,Tobías Medina,San Lorenzo,6.035891361989769
1,Adam Bareiro,San Lorenzo,6.027501816702775
1,Gonzalo Luján,San Lorenzo,6.007919454832802
1,Alexis Cuello,San Lorenzo,5.9582059645494665
1,Maximiliano Rodríguez,Deportivo Riestra,5.892828035508378
1,Walter Acuña,Deportivo Riestra,5.830499374204858
1,Sebastián Blanco,San Lorenzo,5.803091907531172
1,Jonatan Goitía,Deportivo Riestra,5.799131512259348
1,Francisco Perruzzi,San Lorenzo,5.778553058221229
1,Maximiliano Brito,Deportivo Riestra,5.770513603717356
1,Diego Herazo,San Lorenzo,5.7592980400087495
1,Cristian Ferreira,San Lorenzo,5.71287751417699
1,Matías Mansilla,Estudiantes,7.269508290228454
1,Mauro Méndez,Estudiantes,7.159083672191044
1,Tiago Palacios,Estudiantes,7.098652766023281
1,Santiago Ascacíbar,Estudiantes,6.834506952468242
1,Martín Ortega,Tigre,6.789802109064989
1,Agustín Cardozo,Tigre,6.650692936873878
1,Leandro Contín,Tigre,6.640686759325694
1,Tomás Galván,Tigre,6.62734278996403
1,Nicolás Fernández,Estudiantes,6.594756675398557
1,Santiago Flores,Estudiantes,6.479390159084988
1,Martín Garay,Tigre,6.452005558970809
1,Gian Nardelli,Tigre,6.420509285783044
1,Alexis Manyoma,Estudiantes,6.364959485742565
1,Eros Mancuso,Estudiantes,6.325102595460226
1,Juan Esquivel,Tigre,6.283994705039461
1,Felipe Zenobio,Tigre,6.2492399602148865
1,Javier Marcelo Correa,Estudiantes,6.20722281805636
1,Enzo Pérez,Estudiantes,6.195434663053137
1,Zaid Romero,Estudiantes,6.182403398397025
1,Fernando Zuqui,Estudiantes,6.179303744182882
1,Gonzalo Maroni,Tigre,6.154063652914155
1,Nahuel Génez,Tigre,6.100941984459803
1,Kevin Lomónaco,Tigre,6.085467360605217
1,Pablo Piatti,Estudiantes,6.009078962616845
1,Blas Armoa,Tigre,6.004318965919435
1,Federico Fernández,Estudiantes,5.985669178525602
1,Franco Zapiola,Estudiantes,5.977705439958887
1,Matias Espíndola,Tigre,5.976219818640517
1,Edwuin Cetré,Estudiantes,5.965733345293069
1,Angelo Marchese,Tigre,5.914638980552946
1,Tomás Fernández,Tigre,5.799281677953021
1,Sebastián Medina,Tigre,5.727266917013412
1,Matías Reali,Independiente Rivadavia,8.060729585924019
1,Francisco Petrasso,Independiente Rivadavia,7.502342689670617
1,Ezequiel Ham,Independiente Rivadavia,6.88697798472745
1,Tobías Ostchega,Independiente Rivadavia,6.8193895118732355
1,Mauricio Asenjo,Independiente Rivadavia,6.74868036566297
1,Victorio Ramis,Independiente Rivadavia,6.638539391797753
1,Fabio Álvarez,Lanús,6.599852936067792
1,Felipe Peña,Lanús,6.477516348240869
1,Julio Soler,Lanús,6.4590239102711005
1,Tiago Palacios,Independiente Rivadavia,6.418609418895558
1,Ezequiel Muñoz,Lanús,6.411118995203604
1,Matías Ruíz Díaz,Independiente Rivadavia,6.4038238994019405
1,Bruno Bianchi,Independiente Rivadavia,6.392448931113266
1,Lautaro Ríos,Independiente Rivadavia,6.353013500875047
1,Walter Bou,Lanús,6.338266846610634
1,Braian Aguirre,Lanús,6.312861304528064
1,Franco Romero,Independiente Rivadavia,6.304672215339288
1,Gonzalo Marinelli,Independiente Rivadavia,6.216580981457079
1,Augusto Lotti,Lanús,6.152354371437287
1,Ramiro Carrera,Lanús,6.090348940251355
1,Luciano Boggio,Lanús,6.041672489794551
1,Juan Cáceres,Lanús,6.034823060374055
1,Nicolás Morgantini,Lanús,6.01464189903235
1,Diego Tonetto,Independiente Rivadavia,5.9890967904056485
1,Jonathan Torres,Lanús,5.963012458193557
1,Alan Aguerre,Lanús,5.913753830515552
1,Gastón Gil Romero,Independiente Rivadavia,5.908438093764519
1,Brian Luciatti,Lanús,5.820730102854101
1,Antonio Napolitano,Independiente Rivadavia,5.741868209115745
1,Lautaro Acosta,Lanús,5.557527036498124
1,Agustín Rodríguez,Lanús,4.188177674796393
1,Franco Jara,Belgrano,9.533132245830398
